qoi,factor,S1,S1_conf,ST,ST_conf,S1_half,ST_half,n_blocks_used
ses01_dice_core,front_speed_mm_per_day,0.028428132111946728,0.045301271227144925,0.29149813451072065,0.04278707013769233,0.04413138620865583,0.3294733748887705,1024
ses01_dice_core,front_width_mm,0.13651286018953698,0.05659102435419635,0.5004632706079788,0.06219199565343795,0.13684878062540576,0.5005545988724259,1024
ses01_dice_core,seed_peak_density,0.013149689994442715,0.021004539203344254,0.07331100404087644,0.020610821932504013,0.024735008549934275,0.08577123117719007,1024
ses01_dice_core,seed_sigma_mm,0.09043801514622683,0.05985233196990723,0.525788193253949,0.057851930045543724,0.08084533537752837,0.5314812007648243,1024
ses01_dice_core,preop_time,0.0364330798739954,0.04334781834763136,0.23168213702836843,0.04156258722938838,0.039732248553194884,0.26981880225172267,1024
ses01_dice_core,diffusivity_ratio,0.010839941057267008,0.011864330430140877,0.020432303448520032,0.010227325968097117,-0.004262739375236947,0.028216461687592977,1024
ses01_dice_core,chemo_kill_rate,0.0,0.0,0.0,0.0,0.0,0.0,1024
ses01_dice_core,rt_alpha,0.0,0.0,0.0,0.0,0.0,0.0,1024
ses01_dice_core,rt_alpha_beta_ratio,0.0,0.0,0.0,0.0,0.0,0.0,1024
ses01_dice_core,gaussian_seed_x_fraction,0.009900907937981263,0.027682248380299,0.11498179118766358,0.019737134934537593,0.028127198529401952,0.1036613354863387,1024
ses01_dice_core,gaussian_seed_y_fraction,0.0355584704168986,0.029015357384143948,0.11002374787638065,0.019868081799235604,0.037814576960568766,0.10221147440963729,1024
ses01_dice_core,gaussian_seed_z_fraction,0.007700136903649517,0.02376269731858582,0.08231752912192147,0.01331907377703189,0.00367156355412953,0.08466330485723329,1024
ses01_dice_core,core_threshold,0.03849610383879095,0.03144598176900412,0.12528603802529995,0.02680461017154649,0.023814899460680872,0.14116366331127125,1024
ses01_dice_core,edema_threshold_ratio,0.0,0.0,0.0,0.0,0.0,0.0,1024
ses01_dice_whole,front_speed_mm_per_day,0.1642422856179684,0.04389827761771538,0.22673125163447566,0.030062660578492252,0.18638887674021007,0.24188577809416278,1024
ses01_dice_whole,front_width_mm,0.06178299261740042,0.028733066485093644,0.10925033756101805,0.01806740088491634,0.07127874585526647,0.1123193655231105,1024
ses01_dice_whole,seed_peak_density,0.011016276981492514,0.009898682875159253,0.011817655025492273,0.0016268644073967101,0.01383830395773433,0.01159150157074537,1024
ses01_dice_whole,seed_sigma_mm,0.3742892755078811,0.057853605459570086,0.48233043478240556,0.04594707407203003,0.3402626487227151,0.4723958943370902,1024
ses01_dice_whole,preop_time,0.09320804705328711,0.031491821803093054,0.14229214398864487,0.0220441092731782,0.07169575031255664,0.15032613536723607,1024
ses01_dice_whole,diffusivity_ratio,-0.0034170634703468207,0.0075892788671708,0.0060769168710039494,0.0018458082068655614,-0.007878040562459752,0.0042190690921982705,1024
ses01_dice_whole,chemo_kill_rate,0.0,0.0,0.0,0.0,0.0,0.0,1024
ses01_dice_whole,rt_alpha,0.0,0.0,0.0,0.0,0.0,0.0,1024
ses01_dice_whole,rt_alpha_beta_ratio,0.0,0.0,0.0,0.0,0.0,0.0,1024
ses01_dice_whole,gaussian_seed_x_fraction,0.08312066419778483,0.029572762505434377,0.12736341009548607,0.01593391377228617,0.08936509200196491,0.13245560990107863,1024
ses01_dice_whole,gaussian_seed_y_fraction,0.017043625845911292,0.015967106069978088,0.03960389143963076,0.00587647202569385,0.00829671199468258,0.037973986874068645,1024
ses01_dice_whole,gaussian_seed_z_fraction,0.0711606100525081,0.027046873907593652,0.09777166788142763,0.012691727480104246,0.061523585060180096,0.09449596684892678,1024
ses01_dice_whole,core_threshold,0.0071629935854310035,0.00923163415387265,0.00983788461850376,0.001774088627311977,0.009245790220614855,0.010881256230402618,1024
ses01_dice_whole,edema_threshold_ratio,0.01158926648257178,0.01366464207859368,0.02527179953109142,0.00418351723010771,0.01192426224615437,0.023908840448997323,1024
ses01_log10_V_core,front_speed_mm_per_day,0.08585671646598263,0.03542079844112747,0.14322115677659286,0.03172894040280178,0.05650903245387656,0.15470014291809706,1024
ses01_log10_V_core,front_width_mm,0.22378709470975658,0.0504102870836449,0.37508961844367245,0.06846579468242044,0.2324186314867796,0.37684610145499886,1024
ses01_log10_V_core,seed_peak_density,0.025818203504746118,0.026838026428542154,0.09167800793768636,0.02734751700974709,0.022878960488744594,0.09051382334411405,1024
ses01_log10_V_core,seed_sigma_mm,0.2512829257458904,0.05419754897064094,0.37567246323748504,0.06401047222782877,0.25800802140979473,0.39741502424791014,1024
ses01_log10_V_core,preop_time,0.059292426063908915,0.029266326177351094,0.11457354415500796,0.029652307156272706,0.02471181655198893,0.1158797406885909,1024
ses01_log10_V_core,diffusivity_ratio,-0.011812513831919448,0.01983204174254004,0.05957108767544329,0.02202149896872432,-0.02593412989683619,0.06880691929281599,1024
ses01_log10_V_core,chemo_kill_rate,0.0,0.0,0.0,0.0,0.0,0.0,1024
ses01_log10_V_core,rt_alpha,0.0,0.0,0.0,0.0,0.0,0.0,1024
ses01_log10_V_core,rt_alpha_beta_ratio,0.0,0.0,0.0,0.0,0.0,0.0,1024
ses01_log10_V_core,gaussian_seed_x_fraction,-0.0006439993458254723,0.014329926975322255,0.05631880668227912,0.019931389229150775,0.004296274589211242,0.053605712590241314,1024
ses01_log10_V_core,gaussian_seed_y_fraction,0.009536774560439483,0.02573657666563405,0.033398109089129185,0.014627224876297336,0.010245826188302477,0.04105386722673873,1024
ses01_log10_V_core,gaussian_seed_z_fraction,-0.0018217503453182978,0.013793727685235499,0.05492035017381636,0.021170222978224847,-0.0075557732875338275,0.05356126623302072,1024
ses01_log10_V_core,core_threshold,0.049492003500562154,0.031888022924173184,0.1556249281619456,0.038847666187459454,0.0529782243899755,0.17136171894437582,1024
ses01_log10_V_core,edema_threshold_ratio,0.0,0.0,0.0,0.0,0.0,0.0,1024
ses01_log10_V_whole,front_speed_mm_per_day,0.09492506003369854,0.03613992358924026,0.1369542976298586,0.02142371294161554,0.08189311260337083,0.14222442626982507,1024
ses01_log10_V_whole,front_width_mm,0.058939331030619053,0.02441306282598693,0.11589946466608482,0.06632218554856276,0.06312659597098284,0.0861739214388874,1024
ses01_log10_V_whole,seed_peak_density,0.007591110810479345,0.012497689765818996,0.01895412504528946,0.006049283823481714,0.006421130886697509,0.021604627456015473,1024
ses01_log10_V_whole,seed_sigma_mm,0.6650780030197466,0.0768520111064443,0.7072787336489285,0.061387421021334564,0.6458172553859013,0.7114420032082877,1024
